City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,71.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
8,Basco,PH,76.86,broken clouds,20.4487,121.9702,Nathaniel's Lodge
10,Sibolga,ID,79.02,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
13,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Cabo San Lucas,MX,72.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
19,Rikitea,PF,77.61,light rain,-23.1203,-134.9692,People ThankYou
27,Parana,AR,69.57,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
28,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
29,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
31,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
32,Hermanus,ZA,61.97,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
38,Vao,NC,74.46,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
45,Caetite,BR,80.06,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
46,Victoria,HK,75.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
49,Tautira,PF,80.67,few clouds,-17.7333,-149.15,Pension Oaoa
51,Banjar,ID,78.62,broken clouds,-8.19,114.9675,The Hamsa Resort
53,Rawson,AR,73.45,clear sky,-43.3002,-65.1023,Hosteria Sampedro
55,Hilo,US,73.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Vidalia,US,69.91,clear sky,32.2177,-82.4135,Quality Inn & Suites
58,Alofi,NU,71.49,clear sky,-19.0595,-169.9187,Taloa Heights
60,Pasighat,IN,67.95,broken clouds,28.0667,95.3333,Siang Guest House
